order_id,product_category,sub_category,brand,product_price,discount_percent,product_rating,review_count,fragile_item,warranty_available,product_return_rate,category_return_rate,brand_return_rate,defect_rate,seller_rating,seller_return_rate,fulfillment_type,payment_method,quantity,shipping_distance_km,delayed_delivery,wishlist_before_purchase,product_page_views,customer_support_calls,chat_interactions,returned
ORD100019,Fashion,Kids,Brand_17,327.56,46.8,3.1,50.0,0,1,0.076,0.09,0.104,0.063,4.0,0.137,Marketplace Fulfilled,COD,4,229.8,0,1,12,1,0,1
ORD100020,Fashion,Women,Brand_29,92.91,50.9,4.2,33.0,0,0,0.199,0.074,0.131,0.121,4.7,0.136,Seller Fulfilled,COD,5,1053.6,1,0,11,0,0,1
ORD100021,Fashion,Men,Brand_3,10289.72,47.5,4.8,71.0,1,0,0.165,0.107,0.189,0.056,3.6,0.262,Marketplace Fulfilled,Wallet,5,466.7,1,0,8,1,1,1
ORD100022,Sports,Team Sports,Brand_22,1645.86,42.1,3.4,60.0,0,1,0.081,0.107,0.07,0.015,3.7,0.127,Seller Fulfilled,Credit Card,1,230.4,1,0,14,0,0,0
ORD100023,Beauty,Makeup,Brand_28,1392.77,48.8,4.8,85.0,1,0,0.108,0.135,0.131,0.025,5.0,0.001,Marketplace Fulfilled,COD,1,1146.2,1,0,9,0,1,1
ORD100024,Beauty,Haircare,Brand_20,2604.75,57.1,4.1,75.0,0,1,0.089,0.229,0.137,0.016,3.7,0.098,Seller Fulfilled,Wallet,2,1056.6,0,0,12,1,0,0
ORD100025,Sports,Team Sports,Brand_17,654.02,38.1,4.0,75.0,0,1,0.114,0.065,0.135,0.048,3.8,0.121,Seller Fulfilled,COD,2,73.2,0,0,11,0,0,0
ORD100026,Electronics,Mobiles,Brand_11,532.99,9.7,4.7,90.0,1,0,0.263,0.106,0.231,0.038,3.2,0.158,Marketplace Fulfilled,COD,1,158.2,0,1,8,2,0,1
ORD100027,Home,Furniture,Brand_9,2038.99,54.7,4.0,87.0,1,1,0.149,0.156,0.107,0.05,3.8,0.141,Marketplace Fulfilled,COD,2,1276.3,0,0,13,1,2,1
ORD100028,Fashion,Footwear,Brand_17,2026.65,44.3,4.2,116.0,0,1,0.139,0.163,0.156,0.015,4.3,0.129,Seller Fulfilled,Credit Card,1,974.8,1,1,12,0,0,0
ORD100029,Fashion,Men,Brand_27,1046.98,46.0,4.0,75.0,1,0,0.138,0.223,0.157,0.018,4.1,0.132,Seller Fulfilled,Debit Card,3,1168.6,0,0,13,1,0,1
ORD100030,Beauty,Skincare,Brand_14,1331.75,19.7,2.7,57.0,1,1,0.288,0.171,0.197,0.055,4.1,0.064,Marketplace Fulfilled,COD,5,863.5,0,1,11,0,0,1
ORD100031,Electronics,Audio,Brand_4,197.37,10.0,4.2,47.0,0,0,0.224,0.104,0.204,0.112,3.5,0.073,Marketplace Fulfilled,UPI,1,708.5,0,0,12,0,1,1
ORD100032,Home,Decor,Brand_15,477.36,52.3,4.1,,0,1,0.131,0.112,0.089,0.124,4.6,0.218,Seller Fulfilled,COD,4,233.9,0,1,15,0,1,1
ORD100033,Beauty,Haircare,Brand_3,2788.99,3.3,3.6,46.0,0,0,0.209,0.079,0.182,0.013,2.9,0.104,Marketplace Fulfilled,COD,3,726.0,0,0,8,0,0,0
ORD100034,Home,Kitchen,Brand_29,1241.29,27.0,2.2,97.0,0,0,0.243,0.116,0.183,0.074,3.7,0.148,Marketplace Fulfilled,UPI,1,566.5,1,0,17,0,0,0
ORD100035,Home,Decor,Brand_17,161.45,34.1,4.3,95.0,0,0,0.18,0.153,0.182,0.032,4.7,0.158,Marketplace Fulfilled,UPI,5,899.8,0,0,20,1,1,0
ORD100036,Home,Decor,Brand_7,373.16,1.2,3.3,61.0,0,0,0.164,0.12,0.153,0.018,4.7,0.131,Marketplace Fulfilled,Credit Card,1,811.9,0,1,16,2,0,1
ORD100037,Electronics,Laptops,Brand_19,2408.74,40.0,3.2,91.0,0,0,0.195,0.114,0.207,0.186,4.2,0.129,Marketplace Fulfilled,COD,1,1015.7,0,0,11,0,0,1
ORD100038,Fashion,Kids,Brand_17,906.59,8.0,3.1,46.0,0,0,0.123,0.154,0.171,0.009,4.4,0.119,Seller Fulfilled,COD,5,552.7,0,0,15,0,0,0
ORD100039,Electronics,Audio,Brand_16,708.89,16.2,2.6,76.0,0,0,0.094,0.166,0.11,0.034,3.6,0.019,Marketplace Fulfilled,UPI,2,1123.0,0,1,8,2,0,0
ORD100040,Fashion,Women,Brand_18,728.34,66.6,4.2,48.0,0,0,0.001,0.159,0.07,0.01,3.5,0.171,Marketplace Fulfilled,Credit Card,4,1098.3,0,1,17,1,1,0
ORD100041,Electronics,Laptops,Brand_28,558.24,37.5,5.0,84.0,0,0,0.117,0.175,0.151,0.035,3.3,0.106,Marketplace Fulfilled,Credit Card,3,1079.0,0,0,12,1,0,0
ORD100042,Sports,Outdoor,Brand_26,375.47,64.9,3.5,87.0,0,1,0.1,0.133,0.083,0.042,4.3,0.123,Marketplace Fulfilled,COD,5,664.0,1,0,20,0,1,0
ORD100043,Fashion,Men,Brand_8,284.23,33.0,4.4,100.0,0,0,0.153,0.071,0.1,0.035,4.8,0.112,Marketplace Fulfilled,UPI,1,579.1,0,0,17,1,0,0
ORD100044,Fashion,Women,Brand_8,1494.12,53.8,3.8,79.0,0,1,0.08,0.097,0.126,0.045,4.1,0.206,Marketplace Fulfilled,COD,4,1156.7,0,1,11,0,0,0
ORD100045,Electronics,Mobiles,Brand_30,745.3,2.5,4.1,,0,1,0.215,0.104,0.184,0.156,4.0,0.063,Marketplace Fulfilled,UPI,5,1356.6,0,1,6,0,1,0
ORD100046,Electronics,Mobiles,Brand_20,1137.23,19.5,3.9,65.0,0,1,0.102,0.129,0.112,0.116,4.1,0.1,Marketplace Fulfilled,UPI,5,848.0,0,0,15,1,1,0
ORD100047,Beauty,Haircare,Brand_1,984.39,19.0,4.4,58.0,0,0,0.131,0.173,0.137,0.058,4.5,0.138,Seller Fulfilled,COD,5,1262.4,0,0,11,0,0,1
ORD100048,Home,Kitchen,Brand_16,2138.47,4.7,3.1,66.0,1,1,0.126,0.133,0.085,0.101,4.7,0.18,Marketplace Fulfilled,Credit Card,2,732.2,0,1,13,0,5,0
ORD100049,Sports,Team Sports,Brand_4,906.13,63.8,4.0,78.0,1,0,0.254,0.07,0.232,0.09,3.1,0.104,Marketplace Fulfilled,Credit Card,4,1132.5,0,0,11,0,0,1
ORD100050,Beauty,Makeup,Brand_1,1263.0,33.8,4.6,63.0,0,0,0.167,0.158,0.218,0.314,4.5,0.103,Seller Fulfilled,Credit Card,2,1401.1,0,0,12,0,0,0
ORD100051,Electronics,Laptops,Brand_6,699.63,39.7,4.4,69.0,0,0,0.046,0.14,0.055,0.098,4.3,0.162,Marketplace Fulfilled,Debit Card,4,134.2,1,0,14,0,2,0
ORD100052,Sports,Fitness,Brand_8,256.54,34.9,4.1,95.0,0,1,0.076,0.143,0.092,0.055,4.3,0.145,Marketplace Fulfilled,Credit Card,4,1084.1,0,0,13,1,0,0
ORD100053,Fashion,Women,Brand_3,491.25,16.7,4.0,86.0,0,0,0.187,0.233,0.154,0.205,3.4,0.169,Marketplace Fulfilled,COD,5,443.3,0,1,8,0,0,1
ORD100054,Fashion,Footwear,Brand_26,1023.44,61.9,3.7,64.0,0,1,0.196,0.242,0.155,0.032,4.4,0.08,Seller Fulfilled,COD,5,334.7,1,0,16,0,0,0
ORD100055,Fashion,Accessories,Brand_14,1107.55,44.8,3.7,93.0,0,0,0.246,0.149,0.22,0.076,4.7,0.112,Marketplace Fulfilled,UPI,4,141.9,0,0,10,0,0,1
ORD100056,Beauty,Makeup,Brand_17,2221.47,8.3,2.9,97.0,1,0,0.143,0.112,0.147,0.076,4.0,0.114,Seller Fulfilled,COD,1,531.5,1,0,15,0,1,1
ORD100057,Electronics,Laptops,Brand_26,397.85,30.9,4.2,99.0,0,1,0.051,0.161,0.089,0.015,4.1,0.218,Marketplace Fulfilled,UPI,3,779.9,0,0,11,0,0,0
ORD100058,Fashion,Kids,Brand_26,737.6,0.1,4.8,43.0,0,0,0.126,0.001,0.151,0.009,3.9,0.216,Marketplace Fulfilled,COD,4,1290.8,0,0,9,0,0,0
ORD100059,Home,Decor,Brand_25,535.8,45.2,4.1,54.0,0,0,0.091,0.05,0.092,0.033,4.4,0.103,Seller Fulfilled,COD,2,590.3,0,0,12,0,0,0
ORD100060,Fashion,Men,Brand_6,2596.4,35.1,3.9,78.0,0,0,0.088,0.183,0.076,0.052,3.8,0.01,marketplace fulfilled ,COD,4,29.9,0,0,15,2,0,0
ORD100061,Beauty,Skincare,Brand_23,844.55,60.6,4.3,80.0,0,0,0.228,0.093,0.239,0.073,4.2,0.004,Seller Fulfilled,Debit Card,4,591.2,1,1,14,0,2,1
ORD100062,Electronics,Mobiles,Brand_30,859.23,63.5,2.5,59.0,0,0,0.204,0.093,0.152,0.057,4.5,0.113,Seller Fulfilled,UPI,3,1144.8,0,0,6,1,0,1
ORD100063,Electronics,Audio,Brand_1,582.84,6.6,3.6,48.0,0,0,0.238,0.174,0.204,0.04,3.5,0.083,Seller Fulfilled,Credit Card,3,336.5,0,0,14,0,0,0
ORD100064,Electronics,Mobiles,Brand_27,491.49,6.0,3.9,93.0,0,0,0.238,0.132,0.167,0.057,4.1,0.206,Marketplace Fulfilled,COD,2,1031.7,0,0,12,0,0,1
ORD100065,Home,Kitchen,Brand_26,163.4,60.2,2.8,74.0,0,1,0.045,0.124,0.092,0.129,4.1,0.193,Seller Fulfilled,Debit Card,5,1240.0,1,1,11,1,1,0
ORD100066,Electronics,Laptops,Brand_26,193.43,34.3,4.0,48.0,0,1,0.182,0.139,0.148,0.027,4.3,0.23,Marketplace Fulfilled,Debit Card,3,294.5,0,1,10,1,1,0
ORD100067,Fashion,Footwear,Brand_12,706.95,31.5,2.7,41.0,0,0,0.257,0.163,0.209,0.068,4.0,0.147,Seller Fulfilled,Credit Card,5,1186.0,0,1,18,0,0,1
ORD100068,Fashion,Men,Brand_6,631.9,38.2,4.4,44.0,1,0,0.001,0.2,0.026,0.049,4.3,0.001,Marketplace Fulfilled,UPI,2,143.7,1,0,10,0,1,0
ORD100069,Toys,Educational,Brand_22,710.51,31.2,4.0,38.0,0,0,0.121,0.051,0.108,0.034,3.6,0.093,Marketplace Fulfilled,Debit Card,5,89.8,0,0,5,2,0,0
ORD100070,Books,Fiction,Brand_19,1404.24,41.2,3.8,59.0,0,1,0.227,0.147,0.225,0.057,4.5,0.046,Marketplace Fulfilled,COD,1,1316.5,1,1,11,0,1,1
ORD100071,Beauty,Haircare,Brand_22,654.35,63.6,4.4,38.0,0,0,0.097,0.189,0.103,0.012,4.0,0.168,Seller Fulfilled,COD,4,1091.8,0,0,10,0,1,1
ORD100072,Fashion,Kids,Brand_8,439.89,40.6,4.0,71.0,0,1,0.051,0.015,0.092,0.031,4.5,0.064,Marketplace Fulfilled,Credit Card,2,923.6,1,0,11,0,0,0
ORD100073,Toys,Educational,Brand_6,498.21,21.5,4.2,77.0,0,1,0.034,0.153,0.049,0.032,3.5,0.147,Marketplace Fulfilled,Credit Card,4,1353.5,0,1,12,1,1,0
ORD100074,Sports,Team Sports,Brand_28,749.58,14.3,4.1,48.0,0,0,0.098,0.116,0.124,0.04,4.5,0.098,Seller Fulfilled,UPI,4,540.5,0,0,19,0,1,0
ORD100075,Beauty,Makeup,Brand_16,427.52,64.7,3.3,49.0,0,0,0.097,0.055,0.059,0.106,4.9,0.086,Marketplace Fulfilled,Credit Card,4,82.6,0,0,10,0,0,0
ORD100076,Electronics,Mobiles,Brand_26,1568.62,38.8,4.9,78.0,1,1,0.156,0.106,0.096,0.065,4.6,0.247,Seller Fulfilled,COD,2,399.2,0,1,10,1,0,0
ORD100077,Fashion,Men,Brand_28,595.77,38.0,4.7,93.0,0,1,0.144,0.214,0.18,0.041,4.2,0.13,Marketplace Fulfilled,Credit Card,4,105.5,0,0,6,0,0,0
ORD100078,Fashion,Accessories,Brand_14,754.83,2.2,4.2,68.0,1,0,0.269,0.027,0.237,0.072,4.0,0.096,Marketplace Fulfilled,UPI,4,570.1,0,0,11,0,1,1
ORD100079,Books,Non-Fiction,Brand_8,288.61,61.5,,53.0,0,1,0.073,0.16,0.067,0.065,4.3,0.093,Marketplace Fulfilled,COD,5,1361.4,0,0,14,1,0,0
ORD100080,Electronics,Audio,Brand_27,1569.31,31.5,4.4,64.0,0,0,0.195,0.067,0.181,0.043,3.7,0.131,Marketplace Fulfilled,COD,1,856.3,0,0,19,0,2,1
ORD100081,Fashion,Footwear,Brand_22,2197.49,67.0,4.7,88.0,1,1,0.066,0.225,0.081,0.047,4.4,0.192,Marketplace Fulfilled,COD,2,173.9,0,0,17,0,0,0
ORD100082,Electronics,Audio,Brand_20,176.47,11.2,5.0,36.0,0,1,0.109,0.26,0.138,0.057,3.9,0.245,Seller Fulfilled,Debit Card,1,565.1,0,0,9,0,0,0
ORD100083,Home,Furniture,Brand_29,863.33,21.9,3.5,87.0,0,0,0.265,0.078,0.206,0.065,4.0,0.097,Seller Fulfilled,COD,4,395.4,0,1,9,0,0,1
ORD100084,Fashion,Kids,Brand_8,546.14,14.1,4.6,95.0,0,0,0.077,0.115,0.096,0.035,4.1,0.083,Marketplace Fulfilled,COD,5,48.5,0,0,7,0,1,0
ORD100085,Sports,Outdoor,Brand_11,777.15,25.4,3.8,71.0,0,0,0.218,0.16,0.184,0.064,3.7,0.17,Marketplace Fulfilled,UPI,5,1043.1,0,1,11,0,0,0
ORD100086,Beauty,Makeup,Brand_2,904.05,65.4,2.8,90.0,0,1,0.109,0.185,0.079,0.022,4.6,0.138,Marketplace Fulfilled,COD,5,836.0,0,1,15,0,0,0
ORD100087,Beauty,Skincare,Brand_12,80.52,27.8,4.5,53.0,0,1,0.182,0.148,0.187,0.029,4.7,0.06,Marketplace Fulfilled,UPI,3,460.4,0,0,16,1,0,0
ORD100088,Electronics,Mobiles,Brand_14,1192.18,55.4,4.9,50.0,0,1,0.189,0.046,0.164,0.029,3.7,0.021,Marketplace Fulfilled,Credit Card,2,1136.5,0,0,10,0,1,0
ORD100089,Home,Decor,Brand_14,1637.88,50.6,4.5,41.0,1,1,0.246,0.074,0.262,0.021,4.3,0.045,Seller Fulfilled,Debit Card,2,791.0,0,0,13,1,1,1
ORD100090,Home,Kitchen,Brand_5,1812.25,20.0,3.8,96.0,1,0,0.029,0.127,0.01,0.047,4.5,0.093,Seller Fulfilled,COD,4,297.5,0,0,9,0,0,0
ORD100091,Home,Kitchen,Brand_25,257.2,38.9,4.2,65.0,0,0,0.061,0.094,0.13,0.093,4.4,0.205,Seller Fulfilled,COD,1,1226.9,0,0,10,0,0,1
ORD100092,Fashion,Kids,Brand_15,585.3,57.1,4.4,65.0,0,0,0.129,0.124,0.151,0.1,4.3,0.029,Marketplace Fulfilled,COD,5,367.6,0,0,12,1,0,1
ORD100093,Electronics,Laptops,Brand_14,370.55,41.0,4.3,65.0,0,0,0.171,0.057,0.168,0.017,3.6,0.134,Marketplace Fulfilled,Debit Card,1,1164.7,1,0,17,1,1,1
ORD100094,Fashion,Women,Brand_26,107.37,17.8,4.7,66.0,0,0,0.042,0.069,0.103,0.111,3.9,0.141,Marketplace Fulfilled,Debit Card,1,323.8,1,0,8,0,0,0
ORD100095,Electronics,Audio,Brand_15,344.3,57.8,4.5,58.0,1,0,0.125,0.058,0.171,0.142,3.9,0.183,Seller Fulfilled,COD,4,1341.6,0,0,17,0,1,1
ORD100096,Electronics,Mobiles,Brand_27,226.85,37.3,3.5,104.0,0,0,0.142,0.151,0.204,0.052,4.5,0.051,Seller Fulfilled,COD,4,617.5,0,0,14,0,0,0
ORD100097,Fashion,Men,Brand_7,813.28,65.7,3.9,85.0,0,1,0.15,0.159,0.126,0.064,3.3,0.08,Seller Fulfilled,COD,4,261.7,0,0,8,0,0,0
ORD100098,Fashion,Kids,Brand_26,138.61,43.9,3.6,46.0,0,1,0.085,0.121,0.136,0.215,3.9,0.148,Marketplace Fulfilled,COD,3,1389.6,0,0,17,0,0,0
ORD100099,Home,Decor,Brand_30,249.24,30.1,4.0,77.0,1,0,0.078,0.035,0.121,0.059,4.1,0.175,Seller Fulfilled,COD,3,712.0,0,0,6,0,1,1
ORD100100,Fashion,Kids,Brand_23,377.09,29.2,2.7,73.0,0,0,0.186,0.134,0.206,0.07,4.2,0.125,Seller Fulfilled,Debit Card,1,326.0,0,0,14,0,0,1
ORD100101,Books,Academic,Brand_27,1203.69,59.0,5.0,54.0,1,0,0.208,0.116,0.175,0.049,4.4,0.135,Marketplace Fulfilled,COD,1,69.1,1,0,11,0,3,1
ORD100102,Home,Furniture,Brand_23,7331.95,65.7,3.4,48.0,1,0,0.07,0.186,0.184,0.058,3.3,0.163,Seller Fulfilled,Debit Card,4,,0,1,13,0,2,1
ORD100103,Electronics,Audio,Brand_19,790.59,27.5,3.6,98.0,0,0,0.221,0.117,0.24,0.032,4.2,0.015,Seller Fulfilled,COD,3,1224.7,0,0,6,0,0,1
ORD100104,Home,Furniture,Brand_23,237.72,10.9,4.0,51.0,0,1,0.253,0.069,0.21,0.042,4.3,0.087,Marketplace Fulfilled,Debit Card,3,85.2,0,0,10,0,1,0
ORD100105,Fashion,Women,Brand_29,326.62,2.7,3.0,94.0,0,1,0.102,0.124,0.138,0.093,3.6,0.071,Seller Fulfilled,Credit Card,4,964.1,1,0,12,1,0,0
ORD100106,Toys,Educational,Brand_19,1088.17,21.6,3.7,43.0,0,0,0.174,0.089,0.162,0.029,4.8,0.124,Seller Fulfilled,COD,4,510.3,0,1,10,1,0,1
ORD100107,Electronics,Audio,Brand_21,179.22,22.9,4.0,71.0,0,1,0.103,0.091,0.082,0.058,5.0,0.04,Marketplace Fulfilled,UPI,4,778.9,1,0,16,0,0,0
ORD100108,Sports,Team Sports,Brand_3,1614.93,28.5,5.0,88.0,1,0,0.143,0.097,0.205,0.109,4.0,0.087,Marketplace Fulfilled,COD,3,1263.9,0,1,7,1,0,1
ORD100109,Fashion,Accessories,Brand_29,769.75,9.7,4.0,82.0,0,1,0.123,0.102,0.136,0.006,4.0,0.103,Marketplace Fulfilled,Debit Card,3,738.4,0,0,4,0,1,0
ORD100110,Electronics,Mobiles,Brand_24,537.77,33.0,3.6,64.0,0,1,0.105,0.105,0.131,0.115,3.1,0.125,Marketplace Fulfilled,UPI,1,910.2,1,0,6,0,0,0
ORD100111,Electronics,Audio,Brand_5,132.11,63.2,3.2,93.0,0,1,0.016,0.096,0.01,0.029,4.0,0.176,Seller Fulfilled,Wallet,1,1342.6,0,0,4,0,1,0
ORD100112,Books,Fiction,Brand_9,1377.94,15.6,5.0,87.0,0,0,0.179,0.158,0.157,0.082,4.8,0.263,Seller Fulfilled,Debit Card,5,550.3,1,0,6,1,0,1
ORD100113,Home,Decor,Brand_7,303.24,45.9,4.0,68.0,0,1,0.163,0.059,0.151,0.123,4.0,0.13,Marketplace Fulfilled,COD,1,1112.0,0,0,14,0,1,0
ORD100114,Electronics,Audio,Brand_10,691.13,2.5,4.0,71.0,1,1,0.116,0.124,0.092,0.119,4.0,0.054,Marketplace Fulfilled,Credit Card,2,1205.8,1,0,12,0,0,0
ORD100115,Fashion,Men,Brand_27,522.46,43.1,3.0,92.0,0,1,0.21,0.091,0.244,0.037,4.0,0.142,Marketplace Fulfilled,UPI,4,948.9,0,0,8,0,1,1
ORD100116,Electronics,Mobiles,Brand_14,144.69,62.8,4.2,42.0,0,1,0.185,0.089,0.197,0.037,4.4,0.115,Marketplace Fulfilled,COD,3,1283.0,0,1,10,0,1,1
ORD100117,Home,Furniture,Brand_13,489.01,18.9,3.5,83.0,0,1,0.168,0.163,0.14,0.124,4.0,0.145,marketplace fulfilled ,Credit Card,5,1217.6,0,0,9,0,0,0
ORD100118,Electronics,Audio,Brand_24,202.5,54.7,4.9,41.0,0,0,0.145,0.161,0.126,0.11,3.9,0.128,Marketplace Fulfilled,COD,4,1115.0,0,1,15,1,0,1
ORD100119,Fashion,Footwear,Brand_12,334.68,5.5,4.2,40.0,0,0,0.13,0.135,0.197,0.013,3.6,0.063,Seller Fulfilled,UPI,5,139.6,1,0,15,1,1,0
ORD100120,Sports,Fitness,Brand_27,888.47,24.0,4.0,91.0,0,0,0.167,0.168,0.156,0.031,3.6,0.152,Marketplace Fulfilled,COD,4,463.9,0,1,13,0,0,0
ORD100121,Books,Non-Fiction,Brand_23,1132.54,0.4,3.0,52.0,1,0,0.182,0.206,0.237,0.023,4.8,0.182,Marketplace Fulfilled,COD,5,913.1,0,0,13,0,0,1
ORD100122,Fashion,Footwear,Brand_8,592.04,23.8,3.8,94.0,0,1,0.124,0.158,0.173,0.01,4.6,0.139,Seller Fulfilled,Wallet,4,682.1,0,0,17,0,1,0
ORD100123,Home,Furniture,Brand_19,271.63,20.8,3.8,87.0,0,0,0.231,0.127,0.19,0.099,3.5,0.18,Marketplace Fulfilled,Debit Card,2,940.4,0,0,17,1,1,1
ORD100124,Fashion,Footwear,Brand_15,336.07,46.4,4.0,68.0,0,0,0.195,0.167,0.164,0.121,3.8,0.127,Seller Fulfilled,COD,1,482.3,0,1,9,0,0,1
ORD100125,Beauty,Skincare,Brand_11,330.86,19.7,2.6,66.0,0,0,0.135,0.063,0.164,0.005,4.0,0.059,Marketplace Fulfilled,COD,1,1284.2,0,0,8,0,0,1
ORD100126,Electronics,Mobiles,Brand_28,87.94,55.1,3.3,94.0,0,0,0.112,0.091,0.108,0.01,3.7,0.139,Seller Fulfilled,UPI,5,814.5,1,0,19,1,1,1
ORD100127,Beauty,Haircare,Brand_12,642.86,19.5,3.6,84.0,1,0,0.174,0.118,0.156,0.074,4.1,0.12,Marketplace Fulfilled,COD,1,595.3,0,0,8,0,0,1
ORD100128,Beauty,Haircare,Brand_4,134.36,15.0,4.2,94.0,0,1,0.123,0.131,0.158,0.121,4.6,0.131,Marketplace Fulfilled,UPI,2,289.4,0,0,17,1,0,0
ORD100129,Beauty,Haircare,Brand_13,644.57,33.1,2.6,79.0,0,1,0.008,0.059,0.099,0.195,3.4,0.107,Seller Fulfilled,UPI,2,1278.9,0,1,3,1,0,0
ORD100130,Fashion,Women,Brand_16,161.82,44.0,4.8,50.0,0,0,0.062,0.042,0.051,0.041,4.1,0.107,Marketplace Fulfilled,COD,1,262.4,0,0,12,0,0,0
ORD100131,Books,Non-Fiction,Brand_4,203.24,59.5,4.7,77.0,0,0,0.226,0.107,0.167,0.032,4.5,0.151,Marketplace Fulfilled,COD,3,1061.3,0,0,15,0,1,1
ORD100132,Fashion,Footwear,Brand_23,1098.56,54.5,3.2,70.0,0,0,0.164,0.138,0.19,0.04,3.8,0.181,Marketplace Fulfilled,COD,5,841.8,1,0,11,0,1,1
ORD100133,Fashion,Women,Brand_7,615.3,35.1,5.0,56.0,1,0,0.107,0.198,0.11,0.039,3.9,0.025,Seller Fulfilled,COD,2,1216.5,0,0,11,0,1,1
ORD100134,Home,Decor,Brand_3,110.35,65.5,4.1,93.0,0,0,0.195,0.117,0.153,0.092,3.9,0.147,Seller Fulfilled,Credit Card,5,,0,0,17,0,1,0
ORD100135,Electronics,Mobiles,Brand_17,363.97,19.9,3.8,57.0,0,0,0.282,0.141,0.226,0.035,3.8,0.211,Marketplace Fulfilled,COD,5,58.0,0,1,13,1,0,1
ORD100136,Sports,Fitness,Brand_5,761.85,67.0,4.3,89.0,1,0,0.025,0.12,0.01,0.096,3.8,0.17,Marketplace Fulfilled,Wallet,2,1218.8,0,0,20,2,1,0
