product_category,sub_category,brand,discount_percent,product_rating,review_count,fragile_item,warranty_available,product_return_rate,category_return_rate,brand_return_rate,defect_rate,seller_rating,seller_return_rate,fulfillment_type,payment_method,quantity,shipping_distance_km,delayed_delivery,wishlist_before_purchase,product_page_views,returned,total_support_contacts,log_price
Electronics,Audio,Brand_27,9.4,4.8,75.0,0,1,0.183,0.1,0.201,0.048,3.0,0.129,Marketplace Fulfilled,COD,4,1258.0,0,0,17,1,1,6.380292014063123
Beauty,Makeup,Brand_20,41.6,4.1,53.0,0,0,0.073,0.184,0.123,0.09,2.9,0.158,Marketplace Fulfilled,COD,4,1267.6,0,0,7,0,1,7.08823347115634
Fashion,Kids,Brand_17,46.8,3.1,50.0,0,1,0.076,0.09,0.104,0.063,4.0,0.137,Marketplace Fulfilled,COD,4,229.8,0,1,12,1,1,5.794719469648303
Fashion,Women,Brand_29,50.9,4.2,33.0,0,0,0.199,0.074,0.131,0.121,4.7,0.136,Seller Fulfilled,COD,5,1053.6,1,0,11,1,0,4.542336876816522
Fashion,Men,Brand_3,47.5,4.8,71.0,1,0,0.165,0.107,0.189,0.056,3.6,0.262,Marketplace Fulfilled,Wallet,5,466.7,1,0,8,1,2,9.23899779722573
Sports,Team Sports,Brand_22,42.1,3.4,60.0,0,1,0.081,0.107,0.07,0.015,3.7,0.127,Seller Fulfilled,Credit Card,1,230.4,1,0,14,0,0,7.406625723528855
Beauty,Makeup,Brand_28,48.8,4.8,85.0,1,0,0.108,0.135,0.131,0.025,5.0,0.001,Marketplace Fulfilled,COD,1,1146.2,1,0,9,1,1,7.239767584881257
Beauty,Haircare,Brand_20,57.1,4.1,75.0,0,1,0.089,0.229,0.137,0.016,3.7,0.098,Seller Fulfilled,Wallet,2,1056.6,0,0,12,0,1,7.865475820619432
Sports,Team Sports,Brand_17,38.1,4.0,75.0,0,1,0.114,0.065,0.135,0.048,3.8,0.121,Seller Fulfilled,COD,2,73.2,0,0,11,0,0,6.484665769520233
Electronics,Mobiles,Brand_11,9.7,4.7,90.0,1,0,0.263,0.106,0.231,0.038,3.2,0.158,Marketplace Fulfilled,COD,1,158.2,0,1,8,1,2,6.28037711219309
Home,Furniture,Brand_9,54.7,4.0,87.0,1,1,0.149,0.156,0.107,0.05,3.8,0.141,Marketplace Fulfilled,COD,2,1276.3,0,0,13,1,3,7.620700184865463
Fashion,Footwear,Brand_17,44.3,4.2,116.0,0,1,0.139,0.163,0.156,0.015,4.3,0.129,Seller Fulfilled,Credit Card,1,974.8,1,1,12,0,0,7.614632765990342
Fashion,Men,Brand_27,46.0,4.0,75.0,1,0,0.138,0.223,0.157,0.018,4.1,0.132,Seller Fulfilled,Debit Card,3,1168.6,0,0,13,1,1,6.954619780729421
Beauty,Skincare,Brand_14,19.7,2.7,57.0,1,1,0.288,0.171,0.197,0.055,4.1,0.064,Marketplace Fulfilled,COD,5,863.5,0,1,11,1,0,7.19499975570287
Electronics,Audio,Brand_4,10.0,4.2,47.0,0,0,0.224,0.104,0.204,0.112,3.5,0.073,Marketplace Fulfilled,UPI,1,708.5,0,0,12,1,1,5.2901339737400175
Home,Decor,Brand_15,52.3,4.1,,0,1,0.131,0.112,0.089,0.124,4.6,0.218,Seller Fulfilled,COD,4,233.9,0,1,15,1,1,6.170363587100606
Beauty,Haircare,Brand_3,3.3,3.6,46.0,0,0,0.209,0.079,0.182,0.013,2.9,0.104,Marketplace Fulfilled,COD,3,726.0,0,0,8,0,0,7.933793290579597
Home,Kitchen,Brand_29,27.0,2.2,97.0,0,0,0.243,0.116,0.183,0.074,3.7,0.148,Marketplace Fulfilled,UPI,1,566.5,1,0,17,0,0,7.124711729601787
Home,Decor,Brand_17,34.1,4.3,95.0,0,0,0.18,0.153,0.182,0.032,4.7,0.158,Marketplace Fulfilled,UPI,5,899.8,0,0,20,0,2,5.090370262115109
Home,Decor,Brand_7,1.2,3.3,61.0,0,0,0.164,0.12,0.153,0.018,4.7,0.131,Marketplace Fulfilled,Credit Card,1,811.9,0,1,16,1,2,5.924683513417631
Electronics,Laptops,Brand_19,40.0,3.2,91.0,0,0,0.195,0.114,0.207,0.186,4.2,0.129,Marketplace Fulfilled,COD,1,1015.7,0,0,11,1,0,7.787274136847396
Fashion,Kids,Brand_17,8.0,3.1,46.0,0,0,0.123,0.154,0.171,0.009,4.4,0.119,Seller Fulfilled,COD,5,552.7,0,0,15,0,0,6.810792734775353
Electronics,Audio,Brand_16,16.2,2.6,76.0,0,0,0.094,0.166,0.11,0.034,3.6,0.019,Marketplace Fulfilled,UPI,2,1123.0,0,1,8,0,2,6.565110028455069
Fashion,Women,Brand_18,66.6,4.2,48.0,0,0,0.001,0.159,0.07,0.01,3.5,0.171,Marketplace Fulfilled,Credit Card,4,1098.3,0,1,17,0,2,6.59214001559981
Electronics,Laptops,Brand_28,37.5,5.0,84.0,0,0,0.117,0.175,0.151,0.035,3.3,0.106,Marketplace Fulfilled,Credit Card,3,1079.0,0,0,12,0,1,6.326578719119624
Sports,Outdoor,Brand_26,64.9,3.5,87.0,0,1,0.1,0.133,0.083,0.042,4.3,0.123,Marketplace Fulfilled,COD,5,664.0,1,0,20,0,1,5.930838362790326
Fashion,Men,Brand_8,33.0,4.4,100.0,0,0,0.153,0.071,0.1,0.035,4.8,0.112,Marketplace Fulfilled,UPI,1,579.1,0,0,17,0,1,5.653295872348943
Fashion,Women,Brand_8,53.8,3.8,79.0,0,1,0.08,0.097,0.126,0.045,4.1,0.206,Marketplace Fulfilled,COD,4,1156.7,0,1,11,0,0,7.309961750162047
Electronics,Mobiles,Brand_30,2.5,4.1,,0,1,0.215,0.104,0.184,0.156,4.0,0.063,Marketplace Fulfilled,UPI,5,1356.6,0,1,6,0,1,6.615127664137342
Electronics,Mobiles,Brand_20,19.5,3.9,65.0,0,1,0.102,0.129,0.112,0.116,4.1,0.1,Marketplace Fulfilled,UPI,5,848.0,0,0,15,0,2,7.037229703228104
Beauty,Haircare,Brand_1,19.0,4.4,58.0,0,0,0.131,0.173,0.137,0.058,4.5,0.138,Seller Fulfilled,COD,5,1262.4,0,0,11,1,0,6.893037501895187
Home,Kitchen,Brand_16,4.7,3.1,66.0,1,1,0.126,0.133,0.085,0.101,4.7,0.18,Marketplace Fulfilled,Credit Card,2,732.2,0,1,13,0,5,7.6683134137908135
Sports,Team Sports,Brand_4,63.8,4.0,78.0,1,0,0.254,0.07,0.232,0.09,3.1,0.104,Marketplace Fulfilled,Credit Card,4,1132.5,0,0,11,1,0,6.810285769502636
Beauty,Makeup,Brand_1,33.8,4.6,63.0,0,0,0.167,0.158,0.218,0.314,4.5,0.103,Seller Fulfilled,Credit Card,2,1401.1,0,0,12,0,0,7.142036574706803
Electronics,Laptops,Brand_6,39.7,4.4,69.0,0,0,0.046,0.14,0.055,0.098,4.3,0.162,Marketplace Fulfilled,Debit Card,4,134.2,1,0,14,0,2,6.551979930286241
Sports,Fitness,Brand_8,34.9,4.1,95.0,0,1,0.076,0.143,0.092,0.055,4.3,0.145,Marketplace Fulfilled,Credit Card,4,1084.1,0,0,13,0,1,5.551175047845637
Fashion,Women,Brand_3,16.7,4.0,86.0,0,0,0.187,0.233,0.154,0.205,3.4,0.169,Marketplace Fulfilled,COD,5,443.3,0,1,8,1,0,6.198986717519235
Fashion,Footwear,Brand_26,61.9,3.7,64.0,0,1,0.196,0.242,0.155,0.032,4.4,0.08,Seller Fulfilled,COD,5,334.7,1,0,16,0,0,6.931901400810215
Fashion,Accessories,Brand_14,44.8,3.7,93.0,0,0,0.246,0.149,0.22,0.076,4.7,0.112,Marketplace Fulfilled,UPI,4,141.9,0,0,10,1,0,7.010808134038219
Beauty,Makeup,Brand_17,8.3,2.9,97.0,1,0,0.143,0.112,0.147,0.076,4.0,0.114,Seller Fulfilled,COD,1,531.5,1,0,15,1,1,7.7063744689842455
Electronics,Laptops,Brand_26,30.9,4.2,99.0,0,1,0.051,0.161,0.089,0.015,4.1,0.218,Marketplace Fulfilled,UPI,3,779.9,0,0,11,0,0,5.988585406357139
Fashion,Kids,Brand_26,0.1,4.8,43.0,0,0,0.126,0.001,0.151,0.009,3.9,0.216,Marketplace Fulfilled,COD,4,1290.8,0,0,9,0,0,6.6047565024184625
Home,Decor,Brand_25,45.2,4.1,54.0,0,0,0.091,0.05,0.092,0.033,4.4,0.103,Seller Fulfilled,COD,2,590.3,0,0,12,0,0,6.285625585657472
Fashion,Men,Brand_6,35.1,3.9,78.0,0,0,0.088,0.183,0.076,0.052,3.8,0.01,Marketplace Fulfilled,COD,4,29.9,0,0,15,0,2,7.86226622367599
Beauty,Skincare,Brand_23,60.6,4.3,80.0,0,0,0.228,0.093,0.239,0.073,4.2,0.004,Seller Fulfilled,Debit Card,4,591.2,1,1,14,1,2,6.739987303195694
Electronics,Mobiles,Brand_30,63.5,2.5,59.0,0,0,0.204,0.093,0.152,0.057,4.5,0.113,Seller Fulfilled,UPI,3,1144.8,0,0,6,1,1,6.757199795351819
Electronics,Audio,Brand_1,6.6,3.6,48.0,0,0,0.238,0.174,0.204,0.04,3.5,0.083,Seller Fulfilled,Credit Card,3,336.5,0,0,14,0,0,6.369626972688137
Electronics,Mobiles,Brand_27,6.0,3.9,93.0,0,0,0.238,0.132,0.167,0.057,4.1,0.206,Marketplace Fulfilled,COD,2,1031.7,0,0,12,1,0,6.199474155837475
Home,Kitchen,Brand_26,60.2,2.8,74.0,0,1,0.045,0.124,0.092,0.129,4.1,0.193,Seller Fulfilled,Debit Card,5,1240.0,1,1,11,0,2,5.10230248262208
Electronics,Laptops,Brand_26,34.3,4.0,48.0,0,1,0.182,0.139,0.148,0.027,4.3,0.23,Marketplace Fulfilled,Debit Card,3,294.5,0,1,10,0,2,5.270072201107735
Fashion,Footwear,Brand_12,31.5,2.7,41.0,0,0,0.257,0.163,0.209,0.068,4.0,0.147,Seller Fulfilled,Credit Card,5,1186.0,0,1,18,1,0,6.56237346973098
Fashion,Men,Brand_6,38.2,4.4,44.0,1,0,0.001,0.2,0.026,0.049,4.3,0.001,Marketplace Fulfilled,UPI,2,143.7,1,0,10,0,1,6.45031243178126
Toys,Educational,Brand_22,31.2,4.0,38.0,0,0,0.121,0.051,0.108,0.034,3.6,0.093,Marketplace Fulfilled,Debit Card,5,89.8,0,0,5,0,2,6.567389472244913
Books,Fiction,Brand_19,41.2,3.8,59.0,0,1,0.227,0.147,0.225,0.057,4.5,0.046,Marketplace Fulfilled,COD,1,1316.5,1,1,11,1,1,7.247963385685365
Beauty,Haircare,Brand_22,63.6,4.4,38.0,0,0,0.097,0.189,0.103,0.012,4.0,0.168,Seller Fulfilled,COD,4,1091.8,0,0,10,1,1,6.485169444065555
Fashion,Kids,Brand_8,40.6,4.0,71.0,0,1,0.051,0.015,0.092,0.031,4.5,0.064,Marketplace Fulfilled,Credit Card,2,923.6,1,0,11,0,0,6.088795411226659
Toys,Educational,Brand_6,21.5,4.2,77.0,0,1,0.034,0.153,0.049,0.032,3.5,0.147,Marketplace Fulfilled,Credit Card,4,1353.5,0,1,12,0,2,6.213026848905861
Sports,Team Sports,Brand_28,14.3,4.1,48.0,0,0,0.098,0.116,0.124,0.04,4.5,0.098,Seller Fulfilled,UPI,4,540.5,0,0,19,0,1,6.62084624099554
Beauty,Makeup,Brand_16,64.7,3.3,49.0,0,0,0.097,0.055,0.059,0.106,4.9,0.086,Marketplace Fulfilled,Credit Card,4,82.6,0,0,10,0,0,6.060337411394357
Electronics,Mobiles,Brand_26,38.8,4.9,78.0,1,1,0.156,0.106,0.096,0.065,4.6,0.247,Seller Fulfilled,COD,2,399.2,0,1,10,0,1,7.358588830829817
Fashion,Men,Brand_28,38.0,4.7,93.0,0,1,0.144,0.214,0.18,0.041,4.2,0.13,Marketplace Fulfilled,Credit Card,4,105.5,0,0,6,0,0,6.391531779529553
Fashion,Accessories,Brand_14,2.2,4.2,68.0,1,0,0.269,0.027,0.237,0.072,4.0,0.096,Marketplace Fulfilled,UPI,4,570.1,0,0,11,1,1,6.627816483168128
Books,Non-Fiction,Brand_8,61.5,,53.0,0,1,0.073,0.16,0.067,0.065,4.3,0.093,Marketplace Fulfilled,COD,5,1361.4,0,0,14,0,1,5.6685351903021415
Electronics,Audio,Brand_27,31.5,4.4,64.0,0,0,0.195,0.067,0.181,0.043,3.7,0.131,Marketplace Fulfilled,COD,1,856.3,0,0,19,1,2,7.359028331080527
Fashion,Footwear,Brand_22,67.0,4.7,88.0,1,1,0.066,0.225,0.081,0.047,4.4,0.192,Marketplace Fulfilled,COD,2,173.9,0,0,17,0,0,7.695526040054687
Electronics,Audio,Brand_20,11.2,5.0,36.0,0,1,0.109,0.26,0.138,0.057,3.9,0.245,Seller Fulfilled,Debit Card,1,565.1,0,0,9,0,0,5.178801580546473
Home,Furniture,Brand_29,21.9,3.5,87.0,0,0,0.265,0.078,0.206,0.065,4.0,0.097,Seller Fulfilled,COD,4,395.4,0,1,9,1,0,6.761954640326288
Fashion,Kids,Brand_8,14.1,4.6,95.0,0,0,0.077,0.115,0.096,0.035,4.1,0.083,Marketplace Fulfilled,COD,5,48.5,0,0,7,0,1,6.304704711173629
Sports,Outdoor,Brand_11,25.4,3.8,71.0,0,0,0.218,0.16,0.184,0.064,3.7,0.17,Marketplace Fulfilled,UPI,5,1043.1,0,1,11,0,0,6.656919307651019
Beauty,Makeup,Brand_2,65.4,2.8,90.0,0,1,0.109,0.185,0.079,0.022,4.6,0.138,Marketplace Fulfilled,COD,5,836.0,0,1,15,0,0,6.8079901907925615
Beauty,Skincare,Brand_12,27.8,4.5,53.0,0,1,0.182,0.148,0.187,0.029,4.7,0.06,Marketplace Fulfilled,UPI,3,460.4,0,0,16,0,1,4.400848388914469
Electronics,Mobiles,Brand_14,55.4,4.9,50.0,0,1,0.189,0.046,0.164,0.029,3.7,0.021,Marketplace Fulfilled,Credit Card,2,1136.5,0,0,10,0,1,7.084377290850769
Home,Decor,Brand_14,50.6,4.5,41.0,1,1,0.246,0.074,0.262,0.021,4.3,0.045,Seller Fulfilled,Debit Card,2,791.0,0,0,13,1,2,7.401768360688225
Home,Kitchen,Brand_5,20.0,3.8,96.0,1,0,0.029,0.127,0.01,0.047,4.5,0.093,Seller Fulfilled,COD,4,297.5,0,0,9,0,0,7.502876094243522
Home,Kitchen,Brand_25,38.9,4.2,65.0,0,0,0.061,0.094,0.13,0.093,4.4,0.205,Seller Fulfilled,COD,1,1226.9,0,0,10,1,0,5.553734478412542
Fashion,Kids,Brand_15,57.1,4.4,65.0,0,0,0.129,0.124,0.151,0.1,4.3,0.029,Marketplace Fulfilled,COD,5,367.6,0,0,12,1,1,6.373831603970169
Electronics,Laptops,Brand_14,41.0,4.3,65.0,0,0,0.171,0.057,0.168,0.017,3.6,0.134,Marketplace Fulfilled,Debit Card,1,1164.7,1,0,17,1,2,5.917683444603479
Fashion,Women,Brand_26,17.8,4.7,66.0,0,0,0.042,0.069,0.103,0.111,3.9,0.141,Marketplace Fulfilled,Debit Card,1,323.8,1,0,8,0,0,4.685551297934904
Electronics,Audio,Brand_15,57.8,4.5,58.0,1,0,0.125,0.058,0.171,0.142,3.9,0.183,Seller Fulfilled,COD,4,1341.6,0,0,17,1,1,5.844413604395947
Electronics,Mobiles,Brand_27,37.3,3.5,104.0,0,0,0.142,0.151,0.204,0.052,4.5,0.051,Seller Fulfilled,COD,4,617.5,0,0,14,0,0,5.428687517709892
Fashion,Men,Brand_7,65.7,3.9,85.0,0,1,0.15,0.159,0.126,0.064,3.3,0.08,Seller Fulfilled,COD,4,261.7,0,0,8,0,0,6.702304287198846
Fashion,Kids,Brand_26,43.9,3.6,46.0,0,1,0.085,0.121,0.136,0.215,3.9,0.148,Marketplace Fulfilled,COD,3,1389.6,0,0,17,0,0,4.938852821000557
Home,Decor,Brand_30,30.1,4.0,77.0,1,0,0.078,0.035,0.121,0.059,4.1,0.175,Seller Fulfilled,COD,3,712.0,0,0,6,1,1,5.522420457356946
Fashion,Kids,Brand_23,29.2,2.7,73.0,0,0,0.186,0.134,0.206,0.07,4.2,0.125,Seller Fulfilled,Debit Card,1,326.0,0,0,14,1,0,5.93513226251751
Books,Academic,Brand_27,59.0,5.0,54.0,1,0,0.208,0.116,0.175,0.049,4.4,0.135,Marketplace Fulfilled,COD,1,69.1,1,0,11,1,3,7.0939775514165735
Home,Furniture,Brand_23,65.7,3.4,48.0,1,0,0.07,0.186,0.184,0.058,3.3,0.163,Seller Fulfilled,Debit Card,4,,0,1,13,1,2,8.900133169578805
Electronics,Audio,Brand_19,27.5,3.6,98.0,0,0,0.221,0.117,0.24,0.032,4.2,0.015,Seller Fulfilled,COD,3,1224.7,0,0,6,1,0,6.674043581005869
Home,Furniture,Brand_23,10.9,4.0,51.0,0,1,0.253,0.069,0.21,0.042,4.3,0.087,Marketplace Fulfilled,Debit Card,3,85.2,0,0,10,0,1,5.475291317015396
Fashion,Women,Brand_29,2.7,3.0,94.0,0,1,0.102,0.124,0.138,0.093,3.6,0.071,Seller Fulfilled,Credit Card,4,964.1,1,0,12,0,1,5.791854400176486
Toys,Educational,Brand_19,21.6,3.7,43.0,0,0,0.174,0.089,0.162,0.029,4.8,0.124,Seller Fulfilled,COD,4,510.3,0,1,10,1,1,6.9931712172693485
Electronics,Audio,Brand_21,22.9,4.0,71.0,0,1,0.103,0.091,0.082,0.058,5.0,0.04,Marketplace Fulfilled,UPI,4,778.9,1,0,16,0,0,5.194178326806891
Sports,Team Sports,Brand_3,28.5,5.0,88.0,1,0,0.143,0.097,0.205,0.109,4.0,0.087,Marketplace Fulfilled,COD,3,1263.9,0,1,7,1,1,7.387665921311156
Fashion,Accessories,Brand_29,9.7,4.0,82.0,0,1,0.123,0.102,0.136,0.006,4.0,0.103,Marketplace Fulfilled,Debit Card,3,738.4,0,0,4,0,1,6.64736406676626
Electronics,Mobiles,Brand_24,33.0,3.6,64.0,0,1,0.105,0.105,0.131,0.115,3.1,0.125,Marketplace Fulfilled,UPI,1,910.2,1,0,6,0,0,6.289288763698755
Electronics,Audio,Brand_5,63.2,3.2,93.0,0,1,0.016,0.096,0.01,0.029,4.0,0.176,Seller Fulfilled,Wallet,1,1342.6,0,0,4,0,1,4.891175854058928
Books,Fiction,Brand_9,15.6,5.0,87.0,0,0,0.179,0.158,0.157,0.082,4.8,0.263,Seller Fulfilled,Debit Card,5,550.3,1,0,6,1,1,7.22907036705702
Home,Decor,Brand_7,45.9,4.0,68.0,0,1,0.163,0.059,0.151,0.123,4.0,0.13,Marketplace Fulfilled,COD,1,1112.0,0,0,14,0,1,5.717816863620004
Electronics,Audio,Brand_10,2.5,4.0,71.0,1,1,0.116,0.124,0.092,0.119,4.0,0.054,Marketplace Fulfilled,Credit Card,2,1205.8,1,0,12,0,0,6.539773799245626
Fashion,Men,Brand_27,43.1,3.0,92.0,0,1,0.21,0.091,0.244,0.037,4.0,0.142,Marketplace Fulfilled,UPI,4,948.9,0,0,8,1,1,6.260460618604281
Electronics,Mobiles,Brand_14,62.8,4.2,42.0,0,1,0.185,0.089,0.197,0.037,4.4,0.115,Marketplace Fulfilled,COD,3,1283.0,0,1,10,1,1,4.981481076665904
Home,Furniture,Brand_13,18.9,3.5,83.0,0,1,0.168,0.163,0.14,0.124,4.0,0.145,Marketplace Fulfilled,Credit Card,5,1217.6,0,0,9,0,0,6.194425799059694
Electronics,Audio,Brand_24,54.7,4.9,41.0,0,0,0.145,0.161,0.126,0.11,3.9,0.128,Marketplace Fulfilled,COD,4,1115.0,0,1,15,1,1,5.31566600488265
Fashion,Footwear,Brand_12,5.5,4.2,40.0,0,0,0.13,0.135,0.197,0.013,3.6,0.063,Seller Fulfilled,UPI,5,139.6,1,0,15,0,2,5.816158325207932
Sports,Fitness,Brand_27,24.0,4.0,91.0,0,0,0.167,0.168,0.156,0.031,3.6,0.152,Marketplace Fulfilled,COD,4,463.9,0,1,13,0,0,6.790625779724312
Books,Non-Fiction,Brand_23,0.4,3.0,52.0,1,0,0.182,0.206,0.237,0.023,4.8,0.182,Marketplace Fulfilled,COD,5,913.1,0,0,13,1,0,7.033100758253043
Fashion,Footwear,Brand_8,23.8,3.8,94.0,0,1,0.124,0.158,0.173,0.01,4.6,0.139,Seller Fulfilled,Wallet,4,682.1,0,0,17,0,1,6.385261850348464
Home,Furniture,Brand_19,20.8,3.8,87.0,0,0,0.231,0.127,0.19,0.099,3.5,0.18,Marketplace Fulfilled,Debit Card,2,940.4,0,0,17,1,2,5.6081155645645255
Fashion,Footwear,Brand_15,46.4,4.0,68.0,0,0,0.195,0.167,0.164,0.121,3.8,0.127,Seller Fulfilled,COD,1,482.3,0,1,9,1,0,5.820290623916091
Beauty,Skincare,Brand_11,19.7,2.6,66.0,0,0,0.135,0.063,0.164,0.005,4.0,0.059,Marketplace Fulfilled,COD,1,1284.2,0,0,8,1,0,5.804713193234642
Electronics,Mobiles,Brand_28,55.1,3.3,94.0,0,0,0.112,0.091,0.108,0.01,3.7,0.139,Seller Fulfilled,UPI,5,814.5,1,0,19,1,2,4.48796198508255
Beauty,Haircare,Brand_12,19.5,3.6,84.0,1,0,0.174,0.118,0.156,0.074,4.1,0.12,Marketplace Fulfilled,COD,1,595.3,0,0,8,1,0,6.4674813111670915
Beauty,Haircare,Brand_4,15.0,4.2,94.0,0,1,0.123,0.131,0.158,0.121,4.6,0.131,Marketplace Fulfilled,UPI,2,289.4,0,0,17,0,1,4.907937895857914
Beauty,Haircare,Brand_13,33.1,2.6,79.0,0,1,0.008,0.059,0.099,0.195,3.4,0.107,Seller Fulfilled,UPI,2,1278.9,0,1,3,0,1,6.4701336474745625
Fashion,Women,Brand_16,44.0,4.8,50.0,0,0,0.062,0.042,0.051,0.041,4.1,0.107,Marketplace Fulfilled,COD,1,262.4,0,0,12,0,0,5.0926452961458315
Books,Non-Fiction,Brand_4,59.5,4.7,77.0,0,0,0.226,0.107,0.167,0.032,4.5,0.151,Marketplace Fulfilled,COD,3,1061.3,0,0,15,1,1,5.319295772933229
Fashion,Footwear,Brand_23,54.5,3.2,70.0,0,0,0.164,0.138,0.19,0.04,3.8,0.181,Marketplace Fulfilled,COD,5,841.8,1,0,11,1,1,7.002665378765122
Fashion,Women,Brand_7,35.1,5.0,56.0,1,0,0.107,0.198,0.11,0.039,3.9,0.025,Seller Fulfilled,COD,2,1216.5,0,0,11,1,1,6.423733857968197
Home,Decor,Brand_3,65.5,4.1,93.0,0,0,0.195,0.117,0.153,0.092,3.9,0.147,Seller Fulfilled,Credit Card,5,,0,0,17,0,1,4.712678393703377
Electronics,Mobiles,Brand_17,19.9,3.8,57.0,0,0,0.282,0.141,0.226,0.035,3.8,0.211,Marketplace Fulfilled,COD,5,58.0,0,1,13,1,1,5.89981515842374
Sports,Fitness,Brand_5,67.0,4.3,89.0,1,0,0.025,0.12,0.01,0.096,3.8,0.17,Marketplace Fulfilled,Wallet,2,1218.8,0,0,20,0,3,6.6370614195592115
Sports,Team Sports,Brand_24,25.8,4.2,95.0,0,1,0.083,0.244,0.103,0.066,4.8,0.123,Marketplace Fulfilled,UPI,1,781.1,0,1,20,0,0,5.845542419694032
Electronics,Laptops,Brand_3,17.6,4.0,77.0,1,0,0.2,0.142,0.195,0.082,3.6,0.121,Marketplace Fulfilled,COD,5,1063.2,0,0,10,1,1,6.093434320691699
Toys,Action Figures,Brand_13,25.6,3.2,50.0,0,1,0.082,0.069,0.096,0.057,4.1,0.116,Marketplace Fulfilled,Credit Card,1,809.1,0,0,17,0,2,6.62099278358974
Electronics,Audio,Brand_2,39.2,3.6,58.0,0,1,0.001,0.145,0.01,0.034,3.9,0.216,Seller Fulfilled,Credit Card,2,934.9,0,0,19,0,0,6.441823349106455
Home,Furniture,Brand_12,31.8,4.1,52.0,1,1,0.173,0.126,0.15,0.051,,0.115,Seller Fulfilled,Credit Card,1,225.7,0,1,6,0,1,5.511006459958388
Fashion,Accessories,Brand_28,3.4,4.5,68.0,0,0,0.167,0.105,0.151,0.014,5.0,0.069,Seller Fulfilled,Credit Card,1,1341.0,0,0,19,0,0,6.421703565314794
Books,Non-Fiction,Brand_20,23.9,4.9,65.0,0,0,0.146,0.086,0.13,0.035,4.2,0.122,Marketplace Fulfilled,COD,2,600.0,0,0,16,0,0,6.1435416499883315
